instance,variant,obj,optimal,time,sol
18,gecode,1016,False,300,"[[152, 40, 132, 60, 172, 20, 112, 80], [113, 79, 133, 59, 153, 39, 173, 19], [114, 78, 134, 58, 154, 38, 174, 18], [115, 77, 135, 57, 155, 37, 175, 17], [116, 76, 136, 56, 156, 36, 176, 16], [117, 75, 137, 55, 157, 35, 177, 15], [97, 95, 118, 74, 138, 54, 158, 34, 178, 14], [98, 94, 119, 73, 139, 53, 159, 33, 179, 13], [99, 93, 120, 72, 140, 52, 160, 32, 180, 12], [100, 92, 121, 71, 141, 51, 161, 31, 181, 11], [101, 91, 122, 70, 142, 50, 162, 30, 182, 10], [102, 90, 123, 69, 143, 49, 163, 29, 183, 9], [124, 68, 103, 89, 144, 48, 164, 28, 184, 8], [125, 67, 104, 88, 145, 47, 165, 27, 185, 7], [186, 6, 166, 26, 105, 86, 126, 66, 146, 46], [187, 5, 106, 87, 147, 45, 167, 25, 107, 85, 127, 65], [128, 64, 108, 84, 148, 44, 168, 24, 188, 4], [129, 63, 109, 83, 149, 43, 169, 23, 189, 3], [110, 82, 130, 62, 150, 42, 170, 22, 190, 2], [171, 21, 131, 61, 111, 81, 96, 191, 1, 151, 41]]"
18,chuffed,-1,False,300,[]
18,gecode_search,503,False,300,"[[151, 184, 166, 100, 147, 20, 1, 16], [138, 110, 25, 2, 32, 42, 54, 118, 5, 70], [123, 178, 176, 116, 142, 112, 44, 127], [104, 121, 155, 174, 122, 73, 7, 60, 47, 115], [67, 50, 189, 18, 51, 31, 88, 94, 26, 41, 29, 150, 69, 190], [86, 45, 48, 156, 133, 107], [57, 145, 137, 188, 120, 61], [92, 87, 119, 49, 28, 90, 131, 46, 108, 139, 186, 66, 149, 173], [74, 82, 15, 83, 65, 68, 160, 97, 59, 109, 134, 99], [36, 10, 191, 75, 4, 8, 63, 144, 37, 6], [30, 183, 158, 23, 169], [113, 135, 153, 161, 164, 124, 84, 175, 105, 168, 64, 167], [12, 159, 55, 11, 79, 141], [91, 14, 27, 77, 62, 157, 22, 98, 24, 101, 143, 114, 102, 136, 17, 103, 71], [76, 95, 80, 38, 129, 111, 52, 162, 148, 154, 180], [125, 93, 53, 171, 43, 96, 33, 163, 182, 56, 165], [89, 152, 81, 172, 117, 128, 3, 130, 34, 58, 106], [35, 72, 21, 181, 126], [140, 187, 177, 78, 146, 179, 185, 13], [170, 40, 132, 85, 39, 19, 9]]"
19,gecode,455,False,300,"[[52, 20], [53, 19], [54, 18], [55, 17], [37, 36, 56, 16], [35, 57, 15], [38, 34, 58, 14], [39, 33, 59, 13], [40, 32, 60, 12], [41, 31, 61, 11], [42, 30, 62, 10], [43, 29, 63, 9], [64, 8, 44, 28], [45, 27, 65, 7], [46, 26, 66, 6], [67, 5, 47, 25], [48, 24, 68, 4], [49, 23, 69, 3], [50, 22, 70, 2], [71, 1, 51, 21]]"
19,chuffed,-1,False,300,[]
19,gecode_search,334,True,22,"[[16, 35, 25, 54], [10, 20, 15], [36, 33], [1], [67, 71, 60, 6, 7], [5, 43, 41], [49, 46, 62, 31, 11], [28, 64], [17, 23, 40], [38, 56, 58], [63, 57, 52], [19, 42, 55, 13, 2, 70, 66], [68, 12, 24], [39, 22, 3, 69, 53, 21], [8, 59, 51, 37, 27, 30], [26, 34], [18, 44, 32, 48, 9], [65, 29, 14], [61, 45, 4], [50, 47]]"
2,gecode,226,True,0,"[[6], [5], [9, 3], [8], [7, 2], [4, 1]]"
2,chuffed,226,True,0,"[[5], [6], [8], [1, 4], [7, 9], [2, 3]]"
2,gecode_search,226,True,0,"[[2], [8, 6], [4], [1], [5, 3], [9, 7]]"
20,gecode,-1,False,300,[]
20,chuffed,-1,False,300,[]
20,gecode_search,925,False,300,"[[256, 13, 39, 1, 26, 219, 52, 134, 126, 263, 35, 98, 123, 273, 46], [121, 179, 111, 193, 33, 277, 110, 87, 84, 64, 230, 278], [151, 114, 162, 153, 101, 173, 148, 203, 79, 120, 283, 133, 280, 135, 115, 109, 17, 3], [194, 137, 267, 112, 43, 28, 242, 27, 5, 22, 108, 129, 9, 23], [73, 244, 183, 221, 96, 74, 159, 44, 285, 160, 176, 157, 71, 257, 184, 171], [49, 258, 50, 48, 210, 248, 131, 188, 6, 271, 223, 250, 125], [166, 149, 189, 150, 249, 198, 217, 185, 220, 205, 200, 139, 77, 191, 281, 186], [270, 103, 53, 218, 243, 19, 141, 252, 29, 225, 45, 78, 233, 268, 61], [86, 127, 172, 83, 260, 284, 142, 264, 72, 2, 54, 80, 152, 59, 276], [124, 82, 113, 181, 51, 32, 202, 222, 255, 20, 10, 282], [116, 228, 182, 132, 231, 234, 57, 180, 175, 38, 14, 34], [158, 69, 216, 90, 30, 12, 138, 227, 18, 58, 16, 211, 31], [88, 192, 128, 164, 55, 63, 36, 47, 21, 279, 95, 209, 66, 117, 245, 207, 91, 140], [102, 37, 199, 85, 92, 56, 208, 65, 272, 269, 232, 62, 7, 206, 107, 81, 196, 106], [161, 241, 236, 259, 177, 40, 187, 240, 254, 213, 8, 261, 68], [197, 163, 265, 144, 168, 204, 70, 235, 224, 41, 119, 174], [247, 147, 24, 226, 190, 237, 195, 246, 93, 122, 229, 105], [145, 75, 67, 156, 99, 239, 97, 155, 118, 170, 104, 275, 136, 266, 94], [214, 215, 130, 60, 201, 212, 167, 287, 178, 143, 286, 146], [165, 15, 4, 89, 262, 154, 76, 42, 251, 169, 25, 11, 100, 238, 274, 253]]"
21,gecode,908,False,300,"[[84, 60, 104, 40, 124, 20], [85, 59, 105, 39, 125, 19], [86, 58, 106, 38, 126, 18], [87, 57, 107, 37, 127, 17], [88, 56, 108, 36, 128, 16], [89, 55, 109, 35, 129, 15], [90, 54, 110, 34, 130, 14], [75, 91, 53, 111, 33, 131, 13], [72, 92, 52, 112, 32, 132, 12], [93, 51, 113, 31, 133, 11], [94, 50, 74, 69, 114, 30, 134, 10, 73, 70], [135, 9, 95, 49, 115, 29], [136, 8, 76, 68, 96, 48, 116, 28], [97, 47, 77, 67, 117, 27, 137, 7], [78, 66, 98, 46, 118, 26, 138, 6], [79, 65, 99, 45, 119, 25, 139, 5], [120, 24, 100, 44, 71, 80, 64, 140, 4], [81, 63, 101, 43, 121, 23, 141, 3], [82, 62, 102, 42, 122, 22, 142, 2], [83, 61, 103, 41, 123, 21, 143, 1]]"
21,chuffed,-1,False,300,[]
